,MX,MY,Limit (fb)
0,3500.0,600.0,0.4703125059604645
1,3500.0,900.0,0.15703125298023224
2,3500.0,1200.0,0.18515625596046448
3,3500.0,1600.0,0.16953125596046448
4,3500.0,2200.0,0.20781250298023224
5,3500.0,2800.0,0.3343749940395355
6,3000.0,70.0,15.199999809265137
7,3000.0,150.0,178.0
8,3000.0,400.0,5.949999809265137
9,3000.0,600.0,0.42656248807907104
10,3000.0,900.0,0.29296875
11,3000.0,1600.0,0.2953124940395355
12,3000.0,2200.0,0.3765625059604645
13,3000.0,2600.0,1.2625000476837158
14,2800.0,70.0,16.549999237060547
15,2800.0,100.0,18.25
16,2800.0,190.0,371.29998779296875
17,2800.0,350.0,16.200000762939453
18,2800.0,600.0,0.559374988079071
19,2800.0,1000.0,0.784375011920929
20,2800.0,1400.0,0.7406250238418579
21,2800.0,2200.0,0.5484374761581421
22,1800.0,1200.0,1.5937499701976776
23,4000.0,60.0,57.099998474121094
24,4000.0,70.0,39.5
25,4000.0,80.0,36.0
26,4000.0,90.0,34.099998474121094
27,4000.0,100.0,35.099998474121094
28,4000.0,125.0,274.6000061035156
29,4000.0,300.0,154.5
30,4000.0,500.0,2.9124999046325684
31,4000.0,700.0,0.3984375
32,4000.0,900.0,0.17109374701976776
33,4000.0,1100.0,0.21796874701976776
34,4000.0,1300.0,0.20624999701976776
35,4000.0,1600.0,0.19140625
36,4000.0,2000.0,0.25312501192092896
37,4000.0,2400.0,0.23125000298023224
38,4000.0,2600.0,0.24453124403953552
39,3500.0,60.0,27.450000762939453
40,3500.0,70.0,18.5
41,3500.0,90.0,17.100000381469727
42,3500.0,125.0,131.8000030517578
43,3500.0,190.0,400.0
44,3500.0,300.0,66.69999694824219
45,3500.0,400.0,6.875
46,3500.0,500.0,1.587499976158142
47,3500.0,800.0,0.16171875596046448
48,3500.0,1100.0,0.19374999403953552
49,3500.0,1400.0,0.20546874403953552
50,3500.0,2000.0,0.2265625
51,3500.0,2500.0,0.23046875
52,3000.0,60.0,22.950000762939453
53,3000.0,90.0,14.875
54,3000.0,125.0,106.30000305175781
55,3000.0,300.0,50.099998474121094
56,3000.0,450.0,2.700000047683716
57,3000.0,700.0,0.3062500059604645
58,3000.0,1000.0,0.38749998807907104
59,3000.0,1300.0,0.3499999940395355
60,3000.0,1800.0,0.31562501192092896
61,3000.0,2400.0,0.504687488079071
62,3000.0,2800.0,231.39999389648438
63,2800.0,80.0,16.100000381469727
64,2800.0,125.0,108.5
65,2800.0,250.0,218.10000610351562
66,2800.0,400.0,6.675000190734863
67,2800.0,700.0,0.46406251192092896
68,2800.0,1100.0,0.671875
69,2800.0,1600.0,0.559374988079071
70,2800.0,2400.0,1.3624999523162842
71,4000.0,150.0,400.0
72,4000.0,250.0,400.0
73,4000.0,350.0,35.70000076293945
74,4000.0,450.0,5.699999809265137
75,4000.0,600.0,0.887499988079071
76,4000.0,800.0,0.20937499403953552
77,4000.0,1000.0,0.22499999403953552
78,4000.0,1200.0,0.20937499403953552
79,4000.0,1400.0,0.22968749701976776
80,4000.0,1800.0,0.18671874701976776
81,4000.0,2200.0,0.22890624403953552
82,4000.0,2500.0,0.23671874403953552
83,4000.0,2800.0,0.2835937440395355
84,3500.0,80.0,16.450000762939453
85,3500.0,100.0,19.25
86,3500.0,150.0,317.79998779296875
87,3500.0,250.0,361.5
88,3500.0,350.0,18.5
89,3500.0,450.0,3.0875000953674316
90,3500.0,700.0,0.21250000596046448
91,3500.0,1300.0,0.18437500298023224
92,3500.0,1800.0,0.16953125596046448
93,3500.0,2400.0,0.21953125298023224
94,3500.0,2600.0,0.2515625059604645
95,3000.0,80.0,14.75
96,3000.0,100.0,16.75
97,3000.0,190.0,400.0
98,3000.0,800.0,0.2828125059604645
99,3000.0,1100.0,0.3578124940395355
100,3000.0,2000.0,0.3843750059604645
101,3000.0,2500.0,0.671875
102,2800.0,60.0,25.0
103,2800.0,90.0,15.899999618530273
104,2800.0,150.0,195.3000030517578
105,2800.0,450.0,2.799999952316284
106,2800.0,800.0,0.46562498807907104
107,2800.0,1200.0,0.645312488079071
108,2800.0,1800.0,0.590624988079071
109,2600.0,60.0,32.650001525878906
110,2800.0,500.0,1.53125
111,2800.0,900.0,0.5140625238418579
112,2800.0,1300.0,0.645312488079071
113,2800.0,2000.0,0.528124988079071
114,2800.0,2500.0,54.400001525878906
115,2800.0,2600.0,354.0
116,2600.0,70.0,22.850000381469727
117,2600.0,80.0,21.700000762939453
118,2600.0,90.0,21.5
119,2600.0,100.0,24.950000762939453
120,2600.0,150.0,267.29998779296875
121,2600.0,190.0,400.0
122,2600.0,250.0,277.0
123,2600.0,300.0,64.5999984741211
124,2600.0,350.0,14.175000190734863
125,2600.0,400.0,5.275000095367432
126,2600.0,450.0,2.09375
127,2600.0,500.0,1.103124976158142
128,2600.0,600.0,0.5328124761581421
129,2600.0,700.0,0.4781250059604645
130,2600.0,800.0,0.4859375059604645
131,2600.0,900.0,0.53125
132,2600.0,1000.0,0.784375011920929
133,2600.0,1100.0,0.6656249761581421
134,2600.0,1200.0,0.640625
135,2600.0,1300.0,0.6499999761581421
136,2600.0,1400.0,0.793749988079071
137,2600.0,1600.0,0.590624988079071
138,2600.0,1800.0,0.6656249761581421
139,2600.0,2000.0,0.671875
140,2600.0,2200.0,1.318750023841858
141,2600.0,2400.0,400.0
142,2500.0,60.0,40.29999923706055
143,2500.0,70.0,29.149999618530273
144,2500.0,80.0,28.399999618530273
145,2500.0,90.0,28.399999618530273
146,2500.0,100.0,33.349998474121094
147,2500.0,125.0,185.5
148,2500.0,150.0,303.0
149,2500.0,190.0,400.0
150,2500.0,250.0,326.6000061035156
151,2500.0,300.0,64.9000015258789
152,2500.0,350.0,12.949999809265137
153,2500.0,400.0,4.587500095367432
154,2500.0,450.0,1.7625000476837158
155,2500.0,500.0,0.934374988079071
156,2500.0,600.0,0.5328124761581421
157,2500.0,700.0,0.48906248807907104
158,2500.0,800.0,0.49999999999999994
159,2500.0,900.0,0.542187511920929
160,2500.0,1000.0,0.7906249761581421
161,2500.0,1100.0,0.6781250238418579
162,2500.0,1200.0,0.653124988079071
163,2500.0,1300.0,0.6656249761581421
164,2500.0,1400.0,0.824999988079071
165,2500.0,1800.0,0.762499988079071
166,2500.0,2000.0,0.893750011920929
167,2500.0,2200.0,51.29999923706055
168,2400.0,60.0,53.70000076293945
169,2400.0,70.0,37.349998474121094
170,2400.0,80.0,36.099998474121094
171,2400.0,100.0,42.70000076293945
172,2400.0,150.0,340.20001220703125
173,2400.0,190.0,400.0
174,2400.0,250.0,385.1000061035156
175,2400.0,300.0,61.20000076293945
176,2400.0,350.0,11.350000381469727
177,2400.0,400.0,3.9000000953674316
178,2400.0,450.0,1.4968750476837158
179,2400.0,500.0,0.78125
180,2400.0,600.0,0.546875
181,2400.0,700.0,0.504687488079071
182,2400.0,900.0,0.557812511920929
183,2400.0,1000.0,0.809374988079071
184,2400.0,1100.0,0.699999988079071
185,2400.0,1200.0,0.671875
186,2400.0,1300.0,0.6968749761581421
187,2400.0,1400.0,0.871874988079071
188,2400.0,1600.0,0.6781250238418579
189,2400.0,1800.0,0.9125000238418579
190,2400.0,2000.0,1.693750023841858
191,2400.0,2200.0,400.0
192,2200.0,60.0,87.0999984741211
193,2200.0,70.0,60.20000076293945
194,2200.0,80.0,58.70000076293945
195,2200.0,90.0,58.0
196,2200.0,100.0,66.4000015258789
197,2200.0,125.0,301.1000061035156
198,2200.0,150.0,400.0
199,2200.0,250.0,395.70001220703125
200,2200.0,300.0,50.0
201,2200.0,350.0,8.887499809265137
202,2200.0,400.0,2.9375
203,2200.0,450.0,1.0812499523162842
204,2200.0,500.0,0.6968749761581421
205,2200.0,700.0,0.5796874761581421
206,2200.0,800.0,0.5796874761581421
207,2200.0,900.0,0.625
208,2200.0,1000.0,0.903124988079071
209,2200.0,1100.0,0.778124988079071
210,2200.0,1200.0,0.7749999761581421
211,2200.0,1300.0,0.8187500238418579
212,2200.0,1400.0,1.0593750476837158
213,2200.0,1600.0,0.9437500238418579
214,2200.0,1800.0,2.481250047683716
215,2000.0,60.0,125.0999984741211
216,2000.0,70.0,83.30000305175781
217,2000.0,80.0,81.19999694824219
218,2000.0,90.0,76.80000305175781
219,2000.0,100.0,90.0999984741211
220,2000.0,125.0,400.0
221,2000.0,150.0,400.0
222,2000.0,250.0,379.5
223,2000.0,300.0,46.099998474121094
224,2000.0,350.0,8.300000190734863
225,2000.0,400.0,2.637500047683716
226,2000.0,450.0,1.134374976158142
227,2000.0,500.0,0.9437500238418579
228,2000.0,600.0,0.925000011920929
229,2000.0,700.0,0.8687499761581421
230,2000.0,800.0,0.8812500238418579
231,2000.0,900.0,0.9375
232,2000.0,1000.0,1.3312499523162842
233,2000.0,1100.0,1.256250023841858
234,2000.0,1200.0,1.2937500476837158
235,2000.0,1300.0,1.4375
236,2000.0,1600.0,2.5999999046325684
237,1800.0,60.0,156.00000381469727
238,1800.0,70.0,105.87499618530273
239,1800.0,80.0,100.24999618530273
240,1800.0,90.0,98.00000190734863
241,1800.0,100.0,114.75000381469727
242,1800.0,125.0,405.49999237060547
243,1800.0,150.0,595.0
244,1800.0,190.0,804.0000152587891
245,1800.0,300.0,38.62499952316284
246,1800.0,350.0,5.562499761581421
247,1800.0,400.0,1.8671874701976776
248,1800.0,450.0,1.1171875149011612
249,1800.0,500.0,1.0468749701976776
250,1800.0,600.0,1.03515625
251,1800.0,700.0,1.0625000298023224
252,1800.0,800.0,1.0546875
253,1800.0,900.0,1.0195312649011612
254,1800.0,1000.0,1.5234375
255,1800.0,1100.0,1.4414063096046448
256,1800.0,1300.0,2.1250000596046448
257,1800.0,1400.0,3.7656250596046448
258,1800.0,1600.0,1576.0000610351562
259,1600.0,60.0,231.49999618530273
260,1600.0,70.0,158.99999618530273
261,1600.0,80.0,144.75000381469727
262,1600.0,90.0,147.5
263,1600.0,100.0,173.50000381469727
264,1600.0,125.0,579.0000152587891
265,1600.0,150.0,720.0
266,1600.0,190.0,1060.0
267,1600.0,250.0,345.99998474121094
268,1600.0,300.0,29.375
269,1600.0,350.0,4.390625059604645
270,1600.0,400.0,2.0624999701976776
271,1600.0,450.0,1.6718749701976776
272,1600.0,500.0,1.5859374403953552
273,1600.0,600.0,1.5859374403953552
274,1600.0,700.0,1.6328124701976776
275,1600.0,800.0,1.5937499701976776
276,1600.0,900.0,1.6171875596046448
277,1600.0,1000.0,2.4375000596046448
278,1600.0,1100.0,2.8125
279,1600.0,1200.0,5.562499761581421
280,1600.0,1300.0,202.5
281,1600.0,1400.0,2165.0
282,1400.0,60.0,328.49998474121094
283,1400.0,70.0,216.74999237060547
284,1400.0,80.0,196.49999618530273
285,1400.0,100.0,231.00000381469727
286,1400.0,125.0,609.0000152587891
287,1400.0,150.0,765.9999847412109
288,1400.0,190.0,890.9999847412109
289,1400.0,250.0,318.9999961853028
290,1400.0,350.0,3.6406248807907104
291,1400.0,400.0,2.4609375
292,1400.0,450.0,2.3359374701976776
293,1400.0,500.0,2.265625
294,1400.0,600.0,2.2734375298023224
295,1400.0,700.0,2.2968749701976776
296,1400.0,800.0,2.2421875596046448
297,1400.0,900.0,2.7421873807907104
298,1400.0,1000.0,5.4218751192092896
299,1400.0,1100.0,149.49999809265137
300,1400.0,1200.0,2868.9999389648438
301,1200.0,60.0,475.49999237060547
302,1200.0,70.0,340.49999237060547
303,1200.0,80.0,308.50000381469727
304,1200.0,90.0,294.50000762939453
305,1200.0,100.0,345.0
306,1200.0,125.0,756.9999694824219
307,1200.0,150.0,821.9999694824219
308,1200.0,190.0,805.9999847412109
309,1000.0,60.0,788.0000305175781
310,800.0,250.0,935.0000381469727
311,1000.0,800.0,4000.0
312,900.0,70.0,792.5000190734862
313,900.0,90.0,767.5000190734863
314,900.0,125.0,1247.5000381469727
315,900.0,600.0,744.9999809265137
316,800.0,80.0,1044.9999809265137
317,800.0,90.0,1097.5000381469727
318,800.0,300.0,548.7500190734863
319,800.0,400.0,665.0000095367432
320,800.0,150.0,1737.5
321,1200.0,250.0,245.0
322,1200.0,300.0,12.999999523162842
323,1200.0,350.0,4.906249940395354
324,1200.0,400.0,4.453125
325,1200.0,450.0,4.296875
326,1200.0,500.0,4.140625
327,1200.0,600.0,4.0625
328,1200.0,700.0,4.453125
329,1200.0,800.0,8.40624988079071
330,1200.0,900.0,155.50000190734863
331,1200.0,1000.0,3438.9999389648438
332,1000.0,70.0,559.0000152587891
333,1000.0,80.0,484.00001525878906
334,1000.0,90.0,512.0000076293945
335,1000.0,100.0,624.5000076293945
336,1000.0,125.0,963.0000305175781
337,1000.0,150.0,1039.000015258789
338,1000.0,190.0,866.9999694824219
339,1000.0,250.0,331.50001525878906
340,1000.0,300.0,23.624999523162842
341,1000.0,350.0,14.562499523162842
342,1000.0,400.0,13.062499761581421
343,1000.0,450.0,12.999999523162842
344,1000.0,500.0,12.562500238418579
345,1000.0,600.0,22.874999046325684
346,1000.0,700.0,340.99998474121094
347,900.0,60.0,1114.9999618530273
348,900.0,80.0,780.0000190734863
349,900.0,100.0,857.4999809265137
350,900.0,150.0,1350.0
351,900.0,250.0,462.5
352,900.0,300.0,62.187498807907104
353,900.0,400.0,37.5
354,900.0,500.0,59.375
355,900.0,700.0,6229.999923706055
356,800.0,60.0,1514.9999618530273
357,800.0,70.0,1168.75
358,800.0,125.0,1775.0
359,800.0,100.0,1294.9999809265137
360,800.0,500.0,2314.9999618530273
361,800.0,600.0,7369.999694824219
362,700.0,60.0,2137.5
363,700.0,70.0,1745.0000762939453
364,700.0,80.0,1505.0000190734863
365,700.0,90.0,1544.9999809265137
366,700.0,100.0,1789.9999618530273
367,700.0,125.0,2460.0000381469727
368,700.0,150.0,2489.9999618530273
369,700.0,250.0,2550.0
370,700.0,300.0,2575.0
371,700.0,400.0,4090.0001525878906
372,600.0,60.0,3229.9999237060547
373,600.0,70.0,2325.0
374,500.0,70.0,7340.000152587891
375,700.0,500.0,15339.999389648438
376,600.0,80.0,2395.0000762939453
377,600.0,90.0,2539.9999618530273
378,600.0,100.0,3000.0
379,600.0,300.0,7790.000152587891
380,500.0,60.0,5929.999923706055
381,500.0,80.0,5170.000076293945
382,600.0,125.0,4440.000152587891
383,600.0,150.0,5809.999847412109
