,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 â‰¤ bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7065851517004555,1.706563929098256,0.565340244469947,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3238260860955682,1.3238113768401185,0.4632432565928342,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4539716292322553,1.4539676056039448,0.6597227260382188,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1525633184608575,2.1524763726481866,0.7232743102020374,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.03938017151233662,0.03937996600461599,0.013982907233979696,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.80277015575159,25.802680847596257,6.894367584255793,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.972382254621955,42.97195112150606,11.543990840008384,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.041051515857750465,0.020111911496818378,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.628576183635968,23.628432061958964,6.305664243164145,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.10023322280037315,0.10023322280037315,0.030976526866919242,,
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1203052.623732777,1203039.5421803154,968412.8956290145,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,126174.28689269017,126170.12612420504,102041.45223617145,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11212.048811462337,11211.655393615407,9211.58553800169,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15929.567731787893,15929.209710016235,13253.834368638529,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22771.53543504107,22770.964652224375,13094.865603482669,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1008.6552751889706,1008.6552751889706,590.6554392055764,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,223.1087799478259,223.10648942140045,74.28940374812589,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,21.14102453338168,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,67.12052250655093,67.12052250655093,20.964423432970698,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.34265009656505,116.33875840971054,39.621137674269235,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.310920939333991,10.310900618783364,4.372806874567642,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,354.82351614889456,354.81594162326763,227.18408926304707,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,172.07336962048205,172.06752156096098,140.45453823202814,,
Data,1381192.0,1381192.0,1381192.0,,,1136042.0,1381192.0,1381192.0
